2023-08-06 10:38:04,818 - INFO - Adding directory info: FileInfo(name='.git', extension='', is_directory=True, parent_directory='F:\\git')
2023-08-06 10:38:04,818 - INFO - Adding file info: FileInfo(name='hello', extension='.md', is_directory=False, parent_directory='F:\\git')
2023-08-06 10:38:04,820 - INFO - Adding directory info: FileInfo(name='hooks', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding directory info: FileInfo(name='info', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding directory info: FileInfo(name='logs', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding directory info: FileInfo(name='objects', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding directory info: FileInfo(name='refs', extension='', is_directory=True, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding file info: FileInfo(name='COMMIT_EDITMSG', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding file info: FileInfo(name='config', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding file info: FileInfo(name='description', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding file info: FileInfo(name='HEAD', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,820 - INFO - Adding file info: FileInfo(name='index', extension='N/A', is_directory=False, parent_directory='F:\\git\\.git')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='applypatch-msg', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='commit-msg', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='fsmonitor-watchman', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='post-update', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='pre-applypatch', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='pre-commit', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='pre-merge-commit', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='pre-push', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='pre-rebase', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
2023-08-06 10:38:04,821 - INFO - Adding file info: FileInfo(name='pre-receive', extension='.sample', is_directory=False, parent_directory='F:\\git\\.git\\hooks')
